"rssi","time (second)","trial","distance"
-67,-0.0,1,5.25
-68,3.0,1,5.25
-66,6.0,1,5.25
-68,7.0,1,5.25
-68,9.0,1,5.25
-66,10.0,1,5.25
-68,11.0,1,5.25
-68,13.0,1,5.25
-66,14.0,1,5.25
-68,15.0,1,5.25
-66,17.0,1,5.25
-65,22.0,1,5.25
-68,24.0,1,5.25
-65,25.0,1,5.25
-66,27.0,1,5.25
-68,28.0,1,5.25
-66,29.0,1,5.25
-66,31.0,1,5.25
-68,32.0,1,5.25
-67,33.0,1,5.25
-67,36.0,1,5.25
-65,38.0,1,5.25
-67,39.0,1,5.25
-67,40.0,1,5.25
-65,42.0,1,5.25
-67,43.0,1,5.25
-68,44.0,1,5.25
-66,46.0,1,5.25
-68,47.0,1,5.25
-67,49.0,1,5.25
-66,50.0,1,5.25
-66,51.0,1,5.25
-68,53.0,1,5.25
-65,54.0,1,5.25
-68,55.0,1,5.25
-68,57.0,1,5.25
-67,58.0,1,5.25
-67,61.0,1,5.25
-68,62.0,1,5.25
-68,64.0,1,5.25
-67,65.0,1,5.25
-67,67.0,1,5.25
-67,68.0,1,5.25
-66,71.0,1,5.25
-67,73.0,1,5.25
-67,76.0,1,5.25
-67,77.0,1,5.25
-67,78.0,1,5.25
-67,80.0,1,5.25
-65,82.0,1,5.25
-66,83.0,1,5.25
-66,84.0,1,5.25
-65,86.0,1,5.25
-65,87.0,1,5.25
-67,89.0,1,5.25
-67,90.0,1,5.25
-67,91.0,1,5.25
-67,93.0,1,5.25
-65,94.0,1,5.25
-65,95.0,1,5.25
-68,98.0,1,5.25
-68,101.0,1,5.25
-67,102.0,1,5.25
-67,104.0,1,5.25
-68,105.0,1,5.25
-68,106.0,1,5.25
-68,108.0,1,5.25
-68,109.0,1,5.25
-68,111.0,1,5.25
-68,112.0,1,5.25
-68,113.0,1,5.25
-68,116.0,1,5.25
-68,117.0,1,5.25
-66,119.0,1,5.25
-66,120.0,1,5.25
-67,-0.0,2,5.25
-71,1.0,2,5.25
-71,3.0,2,5.25
-66,4.0,2,5.25
-71,5.0,2,5.25
-72,7.0,2,5.25
-72,8.0,2,5.25
-72,10.0,2,5.25
-67,11.0,2,5.25
-72,12.0,2,5.25
-72,14.0,2,5.25
-68,15.0,2,5.25
-73,17.0,2,5.25
-72,18.0,2,5.25
-68,19.0,2,5.25
-67,21.0,2,5.25
-67,24.0,2,5.25
-71,26.0,2,5.25
-71,28.0,2,5.25
-68,30.0,2,5.25
-68,32.0,2,5.25
-71,34.0,2,5.25
-67,35.0,2,5.25
-67,37.0,2,5.25
-71,38.0,2,5.25
-70,39.0,2,5.25
-68,41.0,2,5.25
-68,42.0,2,5.25
-68,44.0,2,5.25
-68,46.0,2,5.25
-71,47.0,2,5.25
-68,48.0,2,5.25
-71,49.0,2,5.25
-71,51.0,2,5.25
-71,54.0,2,5.25
-70,57.0,2,5.25
-74,58.0,2,5.25
-67,59.0,2,5.25
