"rssi","time (second)","trial","distance"
-71,-0.0,1,5.25
-71,3.0,1,5.25
-72,4.0,1,5.25
-72,5.0,1,5.25
-71,7.0,1,5.25
-68,8.0,1,5.25
-71,10.0,1,5.25
-71,11.0,1,5.25
-71,12.0,1,5.25
-71,14.0,1,5.25
-71,15.0,1,5.25
-71,18.0,1,5.25
-71,19.0,1,5.25
-71,21.0,1,5.25
-71,22.0,1,5.25
-72,23.0,1,5.25
-72,25.0,1,5.25
-72,26.0,1,5.25
-72,27.0,1,5.25
-72,33.0,1,5.25
-68,34.0,1,5.25
-71,36.0,1,5.25
-72,37.0,1,5.25
-71,38.0,1,5.25
-71,40.0,1,5.25
-71,41.0,1,5.25
-71,44.0,1,5.25
-70,45.0,1,5.25
-71,47.0,1,5.25
-72,48.0,1,5.25
-72,49.0,1,5.25
-71,51.0,1,5.25
-71,52.0,1,5.25
-72,54.0,1,5.25
-72,55.0,1,5.25
-71,56.0,1,5.25
-72,58.0,1,5.25
-71,59.0,1,5.25
-72,61.0,1,5.25
-72,62.0,1,5.25
-70,63.0,1,5.25
-72,65.0,1,5.25
-72,66.0,1,5.25
-75,67.0,1,5.25
-75,69.0,1,5.25
-71,70.0,1,5.25
-72,72.0,1,5.25
-71,73.0,1,5.25
-71,74.0,1,5.25
-72,76.0,1,5.25
-71,77.0,1,5.25
-71,78.0,1,5.25
-71,80.0,1,5.25
-71,81.0,1,5.25
-70,83.0,1,5.25
-71,84.0,1,5.25
-70,85.0,1,5.25
-71,87.0,1,5.25
-73,88.0,1,5.25
-71,89.0,1,5.25
-71,92.0,1,5.25
-70,94.0,1,5.25
-70,95.0,1,5.25
-71,96.0,1,5.25
-71,98.0,1,5.25
-71,99.0,1,5.25
-71,100.0,1,5.25
-71,102.0,1,5.25
-71,103.0,1,5.25
-71,105.0,1,5.25
-71,106.0,1,5.25
-71,107.0,1,5.25
-71,110.0,1,5.25
-72,111.0,1,5.25
-71,113.0,1,5.25
-70,114.0,1,5.25
-72,116.0,1,5.25
-70,117.0,1,5.25
-70,118.0,1,5.25
-71,120.0,1,5.25
-66,-0.0,2,5.25
-67,3.0,2,5.25
-66,4.0,2,5.25
-66,7.0,2,5.25
-67,8.0,2,5.25
-67,11.0,2,5.25
-67,15.0,2,5.25
-66,17.0,2,5.25
-66,18.0,2,5.25
-67,21.0,2,5.25
-66,23.0,2,5.25
-66,26.0,2,5.25
-66,30.0,2,5.25
-68,32.0,2,5.25
-66,34.0,2,5.25
-66,37.0,2,5.25
-67,38.0,2,5.25
-66,39.0,2,5.25
-72,41.0,2,5.25
-72,42.0,2,5.25
-67,43.0,2,5.25
-71,45.0,2,5.25
-71,46.0,2,5.25
-66,48.0,2,5.25
-65,49.0,2,5.25
-68,50.0,2,5.25
-67,52.0,2,5.25
-65,54.0,2,5.25
-67,55.0,2,5.25
-65,57.0,2,5.25
-67,59.0,2,5.25
-67,60.0,2,5.25
-72,62.0,2,5.25
-67,63.0,2,5.25
-68,65.0,2,5.25
-71,66.0,2,5.25
-67,67.0,2,5.25
-68,69.0,2,5.25
-68,70.0,2,5.25
-67,72.0,2,5.25
-68,75.0,2,5.25
-67,78.0,2,5.25
-67,79.0,2,5.25
-66,81.0,2,5.25
-67,82.0,2,5.25
-67,83.0,2,5.25
-65,85.0,2,5.25
-65,86.0,2,5.25
-67,88.0,2,5.25
-67,89.0,2,5.25
-67,90.0,2,5.25
-67,92.0,2,5.25
-67,93.0,2,5.25
-65,94.0,2,5.25
-67,96.0,2,5.25
-67,97.0,2,5.25
-67,99.0,2,5.25
-67,100.0,2,5.25
-66,101.0,2,5.25
-65,103.0,2,5.25
-67,104.0,2,5.25
-65,106.0,2,5.25
-67,107.0,2,5.25
-67,108.0,2,5.25
-65,110.0,2,5.25
-68,111.0,2,5.25
-68,112.0,2,5.25
-71,114.0,2,5.25
-67,115.0,2,5.25
-67,119.0,2,5.25
-72,-0.0,3,5.25
-73,2.0,3,5.25
-73,3.0,3,5.25
-72,8.0,3,5.25
-72,9.0,3,5.25
-72,11.0,3,5.25
-72,12.0,3,5.25
-73,13.0,3,5.25
-71,15.0,3,5.25
-71,16.0,3,5.25
-72,18.0,3,5.25
-71,19.0,3,5.25
-72,20.0,3,5.25
-73,22.0,3,5.25
-72,23.0,3,5.25
-72,24.0,3,5.25
-73,26.0,3,5.25
-72,27.0,3,5.25
-75,29.0,3,5.25
-75,30.0,3,5.25
-72,31.0,3,5.25
-75,33.0,3,5.25
-73,34.0,3,5.25
-74,36.0,3,5.25
-71,37.0,3,5.25
-72,38.0,3,5.25
-73,40.0,3,5.25
-72,41.0,3,5.25
-72,42.0,3,5.25
-73,44.0,3,5.25
-72,45.0,3,5.25
-71,47.0,3,5.25
-71,49.0,3,5.25
-73,51.0,3,5.25
-72,52.0,3,5.25
-72,53.0,3,5.25
-72,55.0,3,5.25
-72,56.0,3,5.25
-72,58.0,3,5.25
-73,59.0,3,5.25
-72,60.0,3,5.25
-73,62.0,3,5.25
-71,63.0,3,5.25
-71,65.0,3,5.25
-74,66.0,3,5.25
-70,68.0,3,5.25
-72,69.0,3,5.25
-72,70.0,3,5.25
-70,72.0,3,5.25
-72,73.0,3,5.25
-72,74.0,3,5.25
-70,76.0,3,5.25
-74,78.0,3,5.25
-73,79.0,3,5.25
-73,80.0,3,5.25
-73,83.0,3,5.25
-72,85.0,3,5.25
-73,86.0,3,5.25
-73,87.0,3,5.25
-73,90.0,3,5.25
-73,91.0,3,5.25
-71,93.0,3,5.25
-74,96.0,3,5.25
-74,97.0,3,5.25
-74,98.0,3,5.25
-74,100.0,3,5.25
-74,102.0,3,5.25
-73,103.0,3,5.25
-73,104.0,3,5.25
-74,106.0,3,5.25
-73,107.0,3,5.25
-70,109.0,3,5.25
-73,110.0,3,5.25
-73,111.0,3,5.25
-72,113.0,3,5.25
-72,114.0,3,5.25
-73,115.0,3,5.25
-73,117.0,3,5.25
-72,118.0,3,5.25
-71,119.0,3,5.25
