"rssi","time (second)","trial","distance"
-34,-0.0,1,0.0
-34,1.0,1,0.0
-37,4.0,1,0.0
-34,5.0,1,0.0
-34,7.0,1,0.0
-34,8.0,1,0.0
-34,11.0,1,0.0
-34,12.0,1,0.0
-34,13.0,1,0.0
-34,15.0,1,0.0
-40,16.0,1,0.0
-34,18.0,1,0.0
-34,21.0,1,0.0
-34,22.0,1,0.0
-40,23.0,1,0.0
-34,26.0,1,0.0
-34,27.0,1,0.0
-34,29.0,1,0.0
-34,30.0,1,0.0
-36,31.0,1,0.0
-34,33.0,1,0.0
-36,36.0,1,0.0
-34,37.0,1,0.0
-34,38.0,1,0.0
-34,41.0,1,0.0
-34,43.0,1,0.0
-34,44.0,1,0.0
-34,45.0,1,0.0
-34,47.0,1,0.0
-34,48.0,1,0.0
-34,51.0,1,0.0
-34,52.0,1,0.0
-34,54.0,1,0.0
-34,56.0,1,0.0
-34,58.0,1,0.0
-34,60.0,1,0.0
-34,62.0,1,0.0
-34,63.0,1,0.0
-34,65.0,1,0.0
-34,66.0,1,0.0
-34,67.0,1,0.0
-34,69.0,1,0.0
-34,70.0,1,0.0
-34,71.0,1,0.0
-31,73.0,1,0.0
-34,76.0,1,0.0
-34,77.0,1,0.0
-31,78.0,1,0.0
-31,80.0,1,0.0
-34,82.0,1,0.0
-34,85.0,1,0.0
-34,87.0,1,0.0
-34,88.0,1,0.0
-34,89.0,1,0.0
-34,91.0,1,0.0
-34,92.0,1,0.0
-33,95.0,1,0.0
-34,97.0,1,0.0
-34,100.0,1,0.0
-34,102.0,1,0.0
-34,103.0,1,0.0
-34,107.0,1,0.0
-34,110.0,1,0.0
-34,111.0,1,0.0
-34,113.0,1,0.0
-33,116.0,1,0.0
-33,117.0,1,0.0
-33,118.0,1,0.0
-46,-0.0,1,0.25
-49,1.0,1,0.25
-49,2.0,1,0.25
-50,7.0,1,0.25
-49,8.0,1,0.25
-50,9.0,1,0.25
-50,11.0,1,0.25
-49,12.0,1,0.25
-49,13.0,1,0.25
-49,15.0,1,0.25
-49,16.0,1,0.25
-50,18.0,1,0.25
-49,19.0,1,0.25
-51,21.0,1,0.25
-50,23.0,1,0.25
-49,25.0,1,0.25
-49,26.0,1,0.25
-49,28.0,1,0.25
-49,29.0,1,0.25
-50,31.0,1,0.25
-49,34.0,1,0.25
-49,35.0,1,0.25
-51,36.0,1,0.25
-50,40.0,1,0.25
-50,41.0,1,0.25
-49,42.0,1,0.25
-50,44.0,1,0.25
-49,45.0,1,0.25
-49,46.0,1,0.25
-49,48.0,1,0.25
-50,51.0,1,0.25
-50,52.0,1,0.25
-51,53.0,1,0.25
