"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1625061431718-00003afc","diract-proximity",,"_doc","['1','-0.375','-0.312']",79,0,"00003afc","[{'instanceId':'0000004d','rssi':-57},{'instanceId':'00000059','rssi':-66},{'instanceId':'00000058','rssi':-68}]","Jun 30, 2021 @ 09:57:11"
"1625061430314-00003afc","diract-proximity",,"_doc","['0.563','0.313','-0.812']",79,6,"00003afc","[{'instanceId':'00000058','rssi':-61},{'instanceId':'0000004e','rssi':-68},{'instanceId':'00000061','rssi':-68}]","Jun 30, 2021 @ 09:57:10"
"1625061429100-00003afc","diract-proximity",,"_doc","['0.875','0.063','-0.5']",79,4,"00003afc","[{'instanceId':'00000058','rssi':-56},{'instanceId':'00000060','rssi':-63},{'instanceId':'0000004d','rssi':-66}]","Jun 30, 2021 @ 09:57:09"
"1625061427725-00003afc","diract-proximity",,"_doc","['0.875','-0.062','-0.5']",79,3,"00003afc","[{'instanceId':'00000059','rssi':-62},{'instanceId':'00000061','rssi':-64},{'instanceId':'0000004e','rssi':-64}]","Jun 30, 2021 @ 09:57:07"
"1625061426340-00003afc","diract-proximity",,"_doc","['0.875','-0.062','-0.5']",79,2,"00003afc","[{'instanceId':'00000058','rssi':-58},{'instanceId':'00000059','rssi':-62},{'instanceId':'0000004d','rssi':-64}]","Jun 30, 2021 @ 09:57:06"
"1625061423908-00003afc","diract-proximity",,"_doc","['1.125','0.125','-0.375']",81,0,"00003afc","[{'instanceId':'00000058','rssi':-58},{'instanceId':'00000060','rssi':-64},{'instanceId':'00000061','rssi':-64}]","Jun 30, 2021 @ 09:57:03"
"1625061422502-00003afc","diract-proximity",,"_doc","['0.938','0.063','-0.437']",81,7,"00003afc","[{'instanceId':'00000058','rssi':-48},{'instanceId':'0000004e','rssi':-65},{'instanceId':'00000059','rssi':-65}]","Jun 30, 2021 @ 09:57:02"
"1625061420509-00003afc","diract-proximity",,"_doc","['0.688','0.438','-0.687']",81,6,"00003afc","[{'instanceId':'00000061','rssi':-64},{'instanceId':'00000058','rssi':-66},{'instanceId':'0000004d','rssi':-67}]","Jun 30, 2021 @ 09:57:00"
"1625061419120-00003afc","diract-proximity",,"_doc","['0.688','0.438','-0.687']",81,6,"00003afc","[{'instanceId':'00000061','rssi':-64},{'instanceId':'00000058','rssi':-66},{'instanceId':'0000004d','rssi':-67}]","Jun 30, 2021 @ 09:56:59"
"1625061417731-00003afc","diract-proximity",,"_doc","['0.688','0.313','-0.625']",81,4,"00003afc","[{'instanceId':'00000058','rssi':-51},{'instanceId':'00000061','rssi':-64},{'instanceId':'00000059','rssi':-69}]","Jun 30, 2021 @ 09:56:57"
