"rssi","time (second)","trial","distance"
-55,-0.0,1,0.5
-59,2.0,1,0.5
-55,3.0,1,0.5
-59,5.0,1,0.5
-56,6.0,1,0.5
-54,8.0,1,0.5
-56,9.0,1,0.5
-57,11.0,1,0.5
-57,12.0,1,0.5
-54,13.0,1,0.5
-56,14.0,1,0.5
-55,16.0,1,0.5
-55,17.0,1,0.5
-56,19.0,1,0.5
-56,21.0,1,0.5
-55,23.0,1,0.5
-54,24.0,1,0.5
-57,26.0,1,0.5
-55,27.0,1,0.5
-55,28.0,1,0.5
-56,30.0,1,0.5
-55,32.0,1,0.5
-56,33.0,1,0.5
-55,34.0,1,0.5
-55,36.0,1,0.5
-56,38.0,1,0.5
-55,39.0,1,0.5
-55,41.0,1,0.5
-55,42.0,1,0.5
-52,43.0,1,0.5
-54,45.0,1,0.5
-57,47.0,1,0.5
-54,48.0,1,0.5
-55,50.0,1,0.5
-55,53.0,1,0.5
-57,54.0,1,0.5
-54,56.0,1,0.5
-54,57.0,1,0.5
-57,59.0,1,0.5
-54,60.0,1,0.5
-56,62.0,1,0.5
-57,63.0,1,0.5
-54,64.0,1,0.5
-54,66.0,1,0.5
-57,67.0,1,0.5
-54,68.0,1,0.5
-57,70.0,1,0.5
-59,71.0,1,0.5
-54,73.0,1,0.5
-54,74.0,1,0.5
-59,75.0,1,0.5
-54,76.0,1,0.5
-55,78.0,1,0.5
-54,79.0,1,0.5
-54,81.0,1,0.5
-57,82.0,1,0.5
-54,83.0,1,0.5
-54,85.0,1,0.5
-57,86.0,1,0.5
-57,88.0,1,0.5
-57,89.0,1,0.5
-57,90.0,1,0.5
-54,93.0,1,0.5
-59,95.0,1,0.5
-53,97.0,1,0.5
-54,98.0,1,0.5
-54,100.0,1,0.5
-55,101.0,1,0.5
-57,103.0,1,0.5
-54,104.0,1,0.5
-59,106.0,1,0.5
-57,107.0,1,0.5
-57,108.0,1,0.5
-60,110.0,1,0.5
-56,111.0,1,0.5
-54,112.0,1,0.5
-59,114.0,1,0.5
-58,115.0,1,0.5
-54,117.0,1,0.5
-54,118.0,1,0.5
-57,119.0,1,0.5
-53,-0.0,2,0.5
-55,2.0,2,0.5
-55,3.0,2,0.5
-53,4.0,2,0.5
-55,6.0,2,0.5
-55,7.0,2,0.5
-55,10.0,2,0.5
-55,11.0,2,0.5
-55,13.0,2,0.5
-55,14.0,2,0.5
-55,15.0,2,0.5
-54,17.0,2,0.5
-55,18.0,2,0.5
-54,19.0,2,0.5
-53,21.0,2,0.5
-55,22.0,2,0.5
-55,24.0,2,0.5
-55,25.0,2,0.5
-55,26.0,2,0.5
-56,28.0,2,0.5
-56,29.0,2,0.5
-55,31.0,2,0.5
-55,32.0,2,0.5
-55,34.0,2,0.5
-54,36.0,2,0.5
-53,37.0,2,0.5
-55,39.0,2,0.5
-53,40.0,2,0.5
-57,42.0,2,0.5
-55,43.0,2,0.5
-53,44.0,2,0.5
-55,47.0,2,0.5
-53,48.0,2,0.5
-55,50.0,2,0.5
-55,51.0,2,0.5
-52,53.0,2,0.5
-55,54.0,2,0.5
-55,55.0,2,0.5
-53,57.0,2,0.5
-53,58.0,2,0.5
-55,59.0,2,0.5
-55,61.0,2,0.5
-55,62.0,2,0.5
-55,63.0,2,0.5
-55,65.0,2,0.5
-55,66.0,2,0.5
-55,68.0,2,0.5
-55,69.0,2,0.5
-55,70.0,2,0.5
-55,72.0,2,0.5
-53,73.0,2,0.5
-55,75.0,2,0.5
-53,77.0,2,0.5
-55,79.0,2,0.5
-55,80.0,2,0.5
-54,83.0,2,0.5
-55,84.0,2,0.5
-54,86.0,2,0.5
-55,87.0,2,0.5
-56,88.0,2,0.5
-53,90.0,2,0.5
-55,91.0,2,0.5
-55,93.0,2,0.5
-54,94.0,2,0.5
-54,95.0,2,0.5
-56,97.0,2,0.5
-55,98.0,2,0.5
-55,99.0,2,0.5
-55,101.0,2,0.5
-55,102.0,2,0.5
-55,103.0,2,0.5
-55,105.0,2,0.5
-55,106.0,2,0.5
-54,108.0,2,0.5
-54,109.0,2,0.5
-55,110.0,2,0.5
-55,112.0,2,0.5
-56,113.0,2,0.5
-55,115.0,2,0.5
-55,116.0,2,0.5
-53,117.0,2,0.5
-55,119.0,2,0.5
-54,120.0,2,0.5
-54,-0.0,3,0.5
-57,1.0,3,0.5
-54,2.0,3,0.5
-54,4.0,3,0.5
-59,5.0,3,0.5
-57,8.0,3,0.5
-57,9.0,3,0.5
-54,11.0,3,0.5
-55,12.0,3,0.5
-58,14.0,3,0.5
-58,15.0,3,0.5
-57,16.0,3,0.5
-62,17.0,3,0.5
-54,19.0,3,0.5
-57,20.0,3,0.5
-54,22.0,3,0.5
-54,23.0,3,0.5
-60,25.0,3,0.5
-54,26.0,3,0.5
-54,27.0,3,0.5
-54,29.0,3,0.5
-54,30.0,3,0.5
-54,31.0,3,0.5
-54,33.0,3,0.5
-54,34.0,3,0.5
-54,35.0,3,0.5
-58,38.0,3,0.5
-54,41.0,3,0.5
-54,43.0,3,0.5
-57,45.0,3,0.5
-54,46.0,3,0.5
-54,48.0,3,0.5
-58,49.0,3,0.5
-54,51.0,3,0.5
-54,52.0,3,0.5
-57,53.0,3,0.5
-54,55.0,3,0.5
-54,56.0,3,0.5
-57,58.0,3,0.5
-54,59.0,3,0.5
-54,60.0,3,0.5
-57,62.0,3,0.5
-54,63.0,3,0.5
-54,65.0,3,0.5
-57,66.0,3,0.5
-57,67.0,3,0.5
-58,69.0,3,0.5
-58,70.0,3,0.5
-54,71.0,3,0.5
-57,73.0,3,0.5
-57,74.0,3,0.5
-54,76.0,3,0.5
-58,77.0,3,0.5
-54,78.0,3,0.5
-54,80.0,3,0.5
-57,81.0,3,0.5
-54,83.0,3,0.5
-54,85.0,3,0.5
-58,86.0,3,0.5
-54,87.0,3,0.5
-54,89.0,3,0.5
-58,90.0,3,0.5
-54,92.0,3,0.5
-54,93.0,3,0.5
-58,94.0,3,0.5
-54,97.0,3,0.5
-58,98.0,3,0.5
-54,100.0,3,0.5
-58,101.0,3,0.5
-58,103.0,3,0.5
-54,104.0,3,0.5
-58,106.0,3,0.5
-54,107.0,3,0.5
-54,109.0,3,0.5
-58,110.0,3,0.5
-60,113.0,3,0.5
-58,114.0,3,0.5
-54,116.0,3,0.5
-57,117.0,3,0.5
-58,118.0,3,0.5
