"rssi","time (second)","trial","distance"
-69,-0.0,1,3.0
-63,2.0,1,3.0
-67,3.0,1,3.0
-64,5.0,1,3.0
-66,6.0,1,3.0
-66,7.0,1,3.0
-64,10.0,1,3.0
-66,11.0,1,3.0
-66,12.0,1,3.0
-64,15.0,1,3.0
-64,17.0,1,3.0
-64,18.0,1,3.0
-66,19.0,1,3.0
-66,21.0,1,3.0
-64,22.0,1,3.0
-64,23.0,1,3.0
-63,26.0,1,3.0
-67,28.0,1,3.0
-64,29.0,1,3.0
-64,30.0,1,3.0
-67,32.0,1,3.0
-63,33.0,1,3.0
-64,35.0,1,3.0
-64,37.0,1,3.0
-67,41.0,1,3.0
-67,44.0,1,3.0
-63,46.0,1,3.0
-69,47.0,1,3.0
-67,49.0,1,3.0
-64,50.0,1,3.0
-67,52.0,1,3.0
-69,53.0,1,3.0
-64,55.0,1,3.0
-66,56.0,1,3.0
-64,57.0,1,3.0
-66,59.0,1,3.0
-64,61.0,1,3.0
-66,63.0,1,3.0
-67,65.0,1,3.0
-67,66.0,1,3.0
-66,68.0,1,3.0
-63,69.0,1,3.0
-64,70.0,1,3.0
-66,72.0,1,3.0
-62,73.0,1,3.0
-64,74.0,1,3.0
-68,76.0,1,3.0
-65,77.0,1,3.0
-64,79.0,1,3.0
-67,80.0,1,3.0
-64,81.0,1,3.0
-66,84.0,1,3.0
-64,86.0,1,3.0
-64,87.0,1,3.0
-66,88.0,1,3.0
-64,90.0,1,3.0
-66,92.0,1,3.0
-66,95.0,1,3.0
-66,97.0,1,3.0
-63,98.0,1,3.0
-63,99.0,1,3.0
-66,101.0,1,3.0
-63,102.0,1,3.0
-66,103.0,1,3.0
-64,105.0,1,3.0
-63,107.0,1,3.0
-67,108.0,1,3.0
-64,111.0,1,3.0
-67,112.0,1,3.0
-64,114.0,1,3.0
-65,115.0,1,3.0
-66,117.0,1,3.0
-64,118.0,1,3.0
-67,119.0,1,3.0
-67,-0.0,2,3.0
-67,1.0,2,3.0
-64,3.0,2,3.0
-67,4.0,2,3.0
-65,6.0,2,3.0
-68,8.0,2,3.0
-65,9.0,2,3.0
-68,11.0,2,3.0
-67,12.0,2,3.0
-65,14.0,2,3.0
-68,15.0,2,3.0
-67,16.0,2,3.0
-65,18.0,2,3.0
-67,19.0,2,3.0
-68,21.0,2,3.0
-65,22.0,2,3.0
-65,23.0,2,3.0
-69,25.0,2,3.0
-65,26.0,2,3.0
-67,27.0,2,3.0
-64,29.0,2,3.0
-66,31.0,2,3.0
-64,32.0,2,3.0
-68,33.0,2,3.0
-67,35.0,2,3.0
-64,36.0,2,3.0
-67,37.0,2,3.0
-67,39.0,2,3.0
-66,40.0,2,3.0
-68,42.0,2,3.0
-66,43.0,2,3.0
-65,44.0,2,3.0
-67,46.0,2,3.0
-66,47.0,2,3.0
-64,48.0,2,3.0
-66,50.0,2,3.0
-67,51.0,2,3.0
-64,53.0,2,3.0
-64,56.0,2,3.0
-67,58.0,2,3.0
-66,59.0,2,3.0
-66,60.0,2,3.0
-66,62.0,2,3.0
-66,65.0,2,3.0
-64,69.0,2,3.0
-66,70.0,2,3.0
-65,71.0,2,3.0
-65,73.0,2,3.0
-67,74.0,2,3.0
-64,76.0,2,3.0
-64,77.0,2,3.0
-66,78.0,2,3.0
-64,80.0,2,3.0
-64,81.0,2,3.0
-67,83.0,2,3.0
-64,84.0,2,3.0
-64,85.0,2,3.0
-67,87.0,2,3.0
-64,88.0,2,3.0
-65,89.0,2,3.0
-65,91.0,2,3.0
-66,92.0,2,3.0
-64,93.0,2,3.0
-66,95.0,2,3.0
-65,96.0,2,3.0
-67,98.0,2,3.0
-66,99.0,2,3.0
-66,100.0,2,3.0
-66,102.0,2,3.0
-66,103.0,2,3.0
-64,105.0,2,3.0
-64,106.0,2,3.0
-68,107.0,2,3.0
-65,110.0,2,3.0
-65,111.0,2,3.0
-66,113.0,2,3.0
-67,114.0,2,3.0
-68,118.0,2,3.0
-64,-0.0,3,3.0
-65,1.0,3,3.0
-67,3.0,3,3.0
-64,5.0,3,3.0
-67,6.0,3,3.0
-65,8.0,3,3.0
-65,9.0,3,3.0
