"rssi","time (second)","trial","distance"
-33,-0.0,1,0.0
-33,2.0,1,0.0
-34,3.0,1,0.0
-34,5.0,1,0.0
-33,6.0,1,0.0
-34,7.0,1,0.0
-33,9.0,1,0.0
-34,10.0,1,0.0
-33,13.0,1,0.0
-33,14.0,1,0.0
-34,15.0,1,0.0
-34,17.0,1,0.0
-33,18.0,1,0.0
-34,19.0,1,0.0
-33,21.0,1,0.0
-33,22.0,1,0.0
-33,24.0,1,0.0
-32,25.0,1,0.0
-34,26.0,1,0.0
-34,28.0,1,0.0
-33,29.0,1,0.0
-34,30.0,1,0.0
-34,32.0,1,0.0
-33,33.0,1,0.0
-34,36.0,1,0.0
-33,37.0,1,0.0
-33,39.0,1,0.0
-32,40.0,1,0.0
-33,41.0,1,0.0
-34,43.0,1,0.0
-35,46.0,1,0.0
-33,48.0,1,0.0
-34,50.0,1,0.0
-34,51.0,1,0.0
-34,52.0,1,0.0
-33,54.0,1,0.0
-34,55.0,1,0.0
-33,57.0,1,0.0
-34,59.0,1,0.0
-34,61.0,1,0.0
-35,62.0,1,0.0
-34,63.0,1,0.0
-34,65.0,1,0.0
-33,66.0,1,0.0
-36,67.0,1,0.0
-33,69.0,1,0.0
-34,70.0,1,0.0
-34,72.0,1,0.0
-34,73.0,1,0.0
-33,75.0,1,0.0
-32,76.0,1,0.0
-33,77.0,1,0.0
-33,79.0,1,0.0
-29,80.0,1,0.0
-33,81.0,1,0.0
-36,83.0,1,0.0
-36,84.0,1,0.0
-33,86.0,1,0.0
-34,88.0,1,0.0
-33,90.0,1,0.0
-33,91.0,1,0.0
-34,92.0,1,0.0
-33,94.0,1,0.0
-33,95.0,1,0.0
-34,96.0,1,0.0
-33,98.0,1,0.0
-34,99.0,1,0.0
-33,102.0,1,0.0
-33,105.0,1,0.0
-34,107.0,1,0.0
-34,108.0,1,0.0
-33,110.0,1,0.0
-33,112.0,1,0.0
-33,113.0,1,0.0
-34,114.0,1,0.0
-35,116.0,1,0.0
-34,117.0,1,0.0
-32,119.0,1,0.0
-35,120.0,1,0.0
-51,-0.0,1,0.25
-48,2.0,1,0.25
-48,3.0,1,0.25
-51,5.0,1,0.25
-49,6.0,1,0.25
-48,9.0,1,0.25
-48,10.0,1,0.25
-51,11.0,1,0.25
-49,13.0,1,0.25
-48,14.0,1,0.25
-48,17.0,1,0.25
-48,18.0,1,0.25
-48,21.0,1,0.25
-51,22.0,1,0.25
-51,24.0,1,0.25
-48,25.0,1,0.25
-51,27.0,1,0.25
-51,28.0,1,0.25
-49,30.0,1,0.25
-51,31.0,1,0.25
-47,34.0,1,0.25
