"rssi","time (second)","trial","distance"
-64,-0.0,1,1.5
-65,2.0,1,1.5
-64,4.0,1,1.5
-60,6.0,1,1.5
-64,8.0,1,1.5
-60,9.0,1,1.5
-60,11.0,1,1.5
-64,13.0,1,1.5
-60,14.0,1,1.5
-60,15.0,1,1.5
-64,17.0,1,1.5
-61,18.0,1,1.5
-64,21.0,1,1.5
-64,24.0,1,1.5
-60,26.0,1,1.5
-60,27.0,1,1.5
-65,29.0,1,1.5
-61,30.0,1,1.5
-64,32.0,1,1.5
-64,33.0,1,1.5
-60,34.0,1,1.5
-68,36.0,1,1.5
-68,37.0,1,1.5
-60,38.0,1,1.5
-64,40.0,1,1.5
-64,41.0,1,1.5
-60,43.0,1,1.5
-66,44.0,1,1.5
-60,46.0,1,1.5
-60,47.0,1,1.5
-61,48.0,1,1.5
-61,50.0,1,1.5
-60,51.0,1,1.5
-60,54.0,1,1.5
-60,57.0,1,1.5
-60,58.0,1,1.5
-64,60.0,1,1.5
-60,62.0,1,1.5
-61,63.0,1,1.5
-65,65.0,1,1.5
-60,66.0,1,1.5
-67,67.0,1,1.5
-67,69.0,1,1.5
-60,70.0,1,1.5
-67,71.0,1,1.5
-64,73.0,1,1.5
-64,74.0,1,1.5
-64,76.0,1,1.5
-64,77.0,1,1.5
-66,78.0,1,1.5
-64,80.0,1,1.5
-64,81.0,1,1.5
-61,83.0,1,1.5
-61,85.0,1,1.5
-61,86.0,1,1.5
-64,88.0,1,1.5
-61,89.0,1,1.5
-60,91.0,1,1.5
-65,92.0,1,1.5
-61,94.0,1,1.5
-60,95.0,1,1.5
-64,97.0,1,1.5
-62,100.0,1,1.5
-64,101.0,1,1.5
-62,104.0,1,1.5
-68,105.0,1,1.5
-61,107.0,1,1.5
-62,108.0,1,1.5
-61,111.0,1,1.5
-61,113.0,1,1.5
-64,114.0,1,1.5
-68,117.0,1,1.5
-62,119.0,1,1.5
-60,-0.0,2,1.5
-65,1.0,2,1.5
-67,3.0,2,1.5
-66,4.0,2,1.5
-65,6.0,2,1.5
-66,8.0,2,1.5
-65,9.0,2,1.5
-66,11.0,2,1.5
-67,12.0,2,1.5
-69,14.0,2,1.5
-66,15.0,2,1.5
-60,17.0,2,1.5
-69,19.0,2,1.5
-61,20.0,2,1.5
-69,21.0,2,1.5
-65,23.0,2,1.5
-66,24.0,2,1.5
-67,26.0,2,1.5
-66,27.0,2,1.5
-65,29.0,2,1.5
-65,30.0,2,1.5
-66,32.0,2,1.5
-65,33.0,2,1.5
-67,34.0,2,1.5
-67,36.0,2,1.5
-66,37.0,2,1.5
-55,40.0,2,1.5
-66,43.0,2,1.5
-69,45.0,2,1.5
-69,47.0,2,1.5
-69,48.0,2,1.5
-66,49.0,2,1.5
-66,52.0,2,1.5
-64,54.0,2,1.5
-66,55.0,2,1.5
-72,57.0,2,1.5
-65,59.0,2,1.5
-66,60.0,2,1.5
-65,63.0,2,1.5
-65,64.0,2,1.5
-65,65.0,2,1.5
-66,68.0,2,1.5
-64,70.0,2,1.5
-67,71.0,2,1.5
-65,72.0,2,1.5
-66,74.0,2,1.5
-68,75.0,2,1.5
-65,76.0,2,1.5
-68,78.0,2,1.5
-66,80.0,2,1.5
-66,81.0,2,1.5
-65,83.0,2,1.5
-66,84.0,2,1.5
-64,86.0,2,1.5
-66,87.0,2,1.5
-65,89.0,2,1.5
-72,91.0,2,1.5
-66,92.0,2,1.5
-65,94.0,2,1.5
-66,95.0,2,1.5
-66,96.0,2,1.5
-66,98.0,2,1.5
-64,99.0,2,1.5
-60,100.0,2,1.5
-66,102.0,2,1.5
-66,103.0,2,1.5
-66,105.0,2,1.5
-66,107.0,2,1.5
-71,109.0,2,1.5
-66,110.0,2,1.5
-67,112.0,2,1.5
-66,113.0,2,1.5
-66,114.0,2,1.5
-66,116.0,2,1.5
-65,117.0,2,1.5
-66,118.0,2,1.5
-65,120.0,2,1.5
-71,-0.0,3,1.5
-71,2.0,3,1.5
-62,3.0,3,1.5
-71,4.0,3,1.5
-71,6.0,3,1.5
-71,7.0,3,1.5
-66,10.0,3,1.5
-65,11.0,3,1.5
-66,13.0,3,1.5
-66,14.0,3,1.5
-65,15.0,3,1.5
-64,17.0,3,1.5
-68,18.0,3,1.5
-68,20.0,3,1.5
-66,21.0,3,1.5
-65,22.0,3,1.5
-58,24.0,3,1.5
-65,25.0,3,1.5
-65,26.0,3,1.5
-65,28.0,3,1.5
-64,29.0,3,1.5
-65,31.0,3,1.5
-60,32.0,3,1.5
-65,33.0,3,1.5
-66,35.0,3,1.5
-65,36.0,3,1.5
-65,38.0,3,1.5
-67,40.0,3,1.5
-65,42.0,3,1.5
-65,43.0,3,1.5
-65,44.0,3,1.5
-65,46.0,3,1.5
-66,47.0,3,1.5
-65,48.0,3,1.5
-69,50.0,3,1.5
-65,51.0,3,1.5
-65,53.0,3,1.5
-65,54.0,3,1.5
-71,55.0,3,1.5
-68,57.0,3,1.5
-67,58.0,3,1.5
-64,60.0,3,1.5
-65,61.0,3,1.5
-65,62.0,3,1.5
-65,64.0,3,1.5
-65,65.0,3,1.5
-60,66.0,3,1.5
-65,68.0,3,1.5
-65,69.0,3,1.5
-65,71.0,3,1.5
-65,72.0,3,1.5
-65,73.0,3,1.5
-65,75.0,3,1.5
-65,76.0,3,1.5
-65,78.0,3,1.5
-65,80.0,3,1.5
-64,82.0,3,1.5
-60,84.0,3,1.5
-64,86.0,3,1.5
-65,87.0,3,1.5
-60,88.0,3,1.5
-66,91.0,3,1.5
-65,92.0,3,1.5
-65,94.0,3,1.5
-65,96.0,3,1.5
-65,97.0,3,1.5
-62,99.0,3,1.5
-62,100.0,3,1.5
-66,102.0,3,1.5
-64,103.0,3,1.5
-64,106.0,3,1.5
-65,108.0,3,1.5
-67,109.0,3,1.5
-65,112.0,3,1.5
-69,113.0,3,1.5
-66,115.0,3,1.5
-66,116.0,3,1.5
-65,117.0,3,1.5
-65,119.0,3,1.5
-64,120.0,3,1.5
