"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1629985929683-00003afc","diract-proximity",,"_doc","['-0.437','-0.937','-0.25']",79,6,"00003afc","[{'instanceId':'00000060','rssi':-66},{'instanceId':'00000058','rssi':-69},{'instanceId':'00000059','rssi':-70}]","Aug 26, 2021 @ 09:52:08"
"1629985929322-0000a7c0","diract-proximity",,"_doc","['-0.125','-0.125','1']",84,2,"0000a7c0","[{'instanceId':'00000058','rssi':-70},{'instanceId':'00000060','rssi':-72},{'instanceId':'0000004d','rssi':-72}]","Aug 26, 2021 @ 09:52:08"
"1629985855115-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,3,"00003afc","[{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000058','rssi':-69},{'instanceId':'00000060','rssi':-71}]","Aug 26, 2021 @ 09:50:54"
"1629985853822-0000a7c0","diract-proximity",,"_doc","['-0.875','0.313','-0.375']",84,6,"0000a7c0","[{'instanceId':'0000004e','rssi':-69},{'instanceId':'00000058','rssi':-70},{'instanceId':'00000060','rssi':-70}]","Aug 26, 2021 @ 09:50:52"
"1629985853818-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,2,"00003afc","[{'instanceId':'00000060','rssi':-63},{'instanceId':'00000058','rssi':-66},{'instanceId':'00000059','rssi':-67}]","Aug 26, 2021 @ 09:50:52"
"1629985852357-0000a7c0","diract-proximity",,"_doc","['-0.937','0.313','-0.375']",84,5,"0000a7c0","[{'instanceId':'00000060','rssi':-69},{'instanceId':'0000004e','rssi':-71},{'instanceId':'00000061','rssi':-72}]","Aug 26, 2021 @ 09:50:51"
"1629985852301-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,1,"00003afc","[{'instanceId':'00000060','rssi':-72},{'instanceId':'00000059','rssi':-72},{'instanceId':'0000004e','rssi':-73}]","Aug 26, 2021 @ 09:50:51"
"1629985850898-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,0,"00003afc","[{'instanceId':'0000004d','rssi':-66},{'instanceId':'00000058','rssi':-68},{'instanceId':'00000061','rssi':-72}]","Aug 26, 2021 @ 09:50:49"
"1629985850788-0000a7c0","diract-proximity",,"_doc","['-0.875','0.313','-0.375']",84,4,"0000a7c0","[{'instanceId':'00000060','rssi':-67},{'instanceId':'0000004e','rssi':-71},{'instanceId':'0000004d','rssi':-72}]","Aug 26, 2021 @ 09:50:49"
"1629985849491-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,6,"00003afc","[{'instanceId':'00000058','rssi':-68},{'instanceId':'00000061','rssi':-70},{'instanceId':'0000004d','rssi':-72}]","Aug 26, 2021 @ 09:50:48"
"1629985849108-0000a7c0","diract-proximity",,"_doc","['-0.937','0.313','-0.375']",84,3,"0000a7c0","[{'instanceId':'00000060','rssi':-68},{'instanceId':'0000004e','rssi':-70},{'instanceId':'00000058','rssi':-70}]","Aug 26, 2021 @ 09:50:48"
"1629985848092-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,5,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000061','rssi':-69},{'instanceId':'00000058','rssi':-69}]","Aug 26, 2021 @ 09:50:47"
"1629985847573-0000a7c0","diract-proximity",,"_doc","['-0.937','0.25','-0.375']",84,2,"0000a7c0","[{'instanceId':'00000060','rssi':-70},{'instanceId':'0000004e','rssi':-71},{'instanceId':'00000061','rssi':-72}]","Aug 26, 2021 @ 09:50:46"
"1629985846854-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,5,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000061','rssi':-69},{'instanceId':'00000058','rssi':-69}]","Aug 26, 2021 @ 09:50:45"
"1629985845829-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,5,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000061','rssi':-69},{'instanceId':'00000058','rssi':-69}]","Aug 26, 2021 @ 09:50:44"
"1629985844764-0000a7c0","diract-proximity",,"_doc","['-0.937','0.25','-0.312']",83,0,"0000a7c0","[{'instanceId':'00000060','rssi':-66},{'instanceId':'00000061','rssi':-71},{'instanceId':'0000004d','rssi':-72}]","Aug 26, 2021 @ 09:50:43"
"1629985844295-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,3,"00003afc","[{'instanceId':'00000058','rssi':-69},{'instanceId':'00000059','rssi':-70},{'instanceId':'0000004d','rssi':-71}]","Aug 26, 2021 @ 09:50:43"
"1629985843378-0000a7c0","diract-proximity",,"_doc","['-0.937','0.25','-0.312']",83,7,"0000a7c0","[{'instanceId':'0000004e','rssi':-68},{'instanceId':'00000060','rssi':-68},{'instanceId':'00000061','rssi':-71}]","Aug 26, 2021 @ 09:50:42"
"1629985843070-00003afc","diract-proximity",,"_doc","['-0.437','-0.812','-0.5']",79,2,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000058','rssi':-70},{'instanceId':'00000059','rssi':-70}]","Aug 26, 2021 @ 09:50:42"
