"rssi","time (second)","trial","distance"
-30,-0.0,1,0.0
-29,1.0,1,0.0
-30,2.0,1,0.0
-30,4.0,1,0.0
-29,5.0,1,0.0
-30,6.0,1,0.0
-30,8.0,1,0.0
-29,9.0,1,0.0
-30,10.0,1,0.0
-29,13.0,1,0.0
-30,15.0,1,0.0
-29,16.0,1,0.0
-29,18.0,1,0.0
-30,19.0,1,0.0
-29,22.0,1,0.0
-30,23.0,1,0.0
-30,24.0,1,0.0
-29,26.0,1,0.0
-30,27.0,1,0.0
-29,29.0,1,0.0
-29,30.0,1,0.0
-30,31.0,1,0.0
-29,33.0,1,0.0
-29,34.0,1,0.0
-30,35.0,1,0.0
-29,37.0,1,0.0
-29,38.0,1,0.0
-30,40.0,1,0.0
-30,44.0,1,0.0
-29,45.0,1,0.0
-30,46.0,1,0.0
-30,48.0,1,0.0
-29,49.0,1,0.0
-30,51.0,1,0.0
-30,52.0,1,0.0
-29,53.0,1,0.0
-30,55.0,1,0.0
-29,57.0,1,0.0
-30,59.0,1,0.0
-29,60.0,1,0.0
-29,62.0,1,0.0
-29,63.0,1,0.0
-29,64.0,1,0.0
-29,66.0,1,0.0
-29,67.0,1,0.0
-29,68.0,1,0.0
-29,70.0,1,0.0
-30,72.0,1,0.0
-29,73.0,1,0.0
-29,74.0,1,0.0
-29,76.0,1,0.0
-29,77.0,1,0.0
-29,79.0,1,0.0
-29,80.0,1,0.0
-29,82.0,1,0.0
-29,83.0,1,0.0
-29,84.0,1,0.0
-30,86.0,1,0.0
-30,88.0,1,0.0
-29,89.0,1,0.0
-29,91.0,1,0.0
-29,92.0,1,0.0
-29,93.0,1,0.0
-29,95.0,1,0.0
-30,96.0,1,0.0
-29,97.0,1,0.0
-29,99.0,1,0.0
-30,100.0,1,0.0
-29,102.0,1,0.0
-30,103.0,1,0.0
-30,105.0,1,0.0
-29,106.0,1,0.0
-29,107.0,1,0.0
-30,109.0,1,0.0
-29,110.0,1,0.0
-29,112.0,1,0.0
-29,115.0,1,0.0
-30,116.0,1,0.0
-29,118.0,1,0.0
-29,119.0,1,0.0
-30,120.0,1,0.0
-49,-0.0,1,0.25
-48,1.0,1,0.25
-48,3.0,1,0.25
-49,4.0,1,0.25
-48,5.0,1,0.25
-48,7.0,1,0.25
-48,8.0,1,0.25
-48,10.0,1,0.25
-48,11.0,1,0.25
-48,12.0,1,0.25
-51,14.0,1,0.25
-49,15.0,1,0.25
-49,16.0,1,0.25
-49,18.0,1,0.25
-48,19.0,1,0.25
-49,20.0,1,0.25
-48,22.0,1,0.25
-49,23.0,1,0.25
-49,25.0,1,0.25
-48,26.0,1,0.25
-49,27.0,1,0.25
-49,30.0,1,0.25
-47,31.0,1,0.25
-49,32.0,1,0.25
-48,34.0,1,0.25
-49,35.0,1,0.25
-52,37.0,1,0.25
-48,38.0,1,0.25
-48,40.0,1,0.25
-50,41.0,1,0.25
-48,42.0,1,0.25
-48,44.0,1,0.25
-48,45.0,1,0.25
-48,47.0,1,0.25
-50,48.0,1,0.25
-48,50.0,1,0.25
-48,51.0,1,0.25
-50,52.0,1,0.25
-48,54.0,1,0.25
-48,55.0,1,0.25
-49,56.0,1,0.25
-48,58.0,1,0.25
-48,60.0,1,0.25
-49,61.0,1,0.25
-48,62.0,1,0.25
-48,64.0,1,0.25
-48,65.0,1,0.25
-48,66.0,1,0.25
-49,69.0,1,0.25
-48,71.0,1,0.25
-49,72.0,1,0.25
-49,74.0,1,0.25
-48,75.0,1,0.25
-49,77.0,1,0.25
-48,78.0,1,0.25
-49,80.0,1,0.25
-49,81.0,1,0.25
-46,83.0,1,0.25
-49,84.0,1,0.25
-50,86.0,1,0.25
-49,87.0,1,0.25
-49,89.0,1,0.25
-50,91.0,1,0.25
-50,92.0,1,0.25
-50,94.0,1,0.25
-48,95.0,1,0.25
-51,98.0,1,0.25
-48,99.0,1,0.25
-48,101.0,1,0.25
-50,102.0,1,0.25
-50,103.0,1,0.25
-49,105.0,1,0.25
-48,106.0,1,0.25
-48,107.0,1,0.25
-49,109.0,1,0.25
-48,110.0,1,0.25
-48,112.0,1,0.25
-49,113.0,1,0.25
-48,114.0,1,0.25
-48,116.0,1,0.25
-48,117.0,1,0.25
-49,118.0,1,0.25
-54,-0.0,1,0.5
-54,1.0,1,0.5
-54,3.0,1,0.5
-54,5.0,1,0.5
-56,7.0,1,0.5
-54,8.0,1,0.5
-55,9.0,1,0.5
-54,11.0,1,0.5
-54,12.0,1,0.5
-56,13.0,1,0.5
-53,16.0,1,0.5
-55,18.0,1,0.5
-54,19.0,1,0.5
-51,20.0,1,0.5
-55,22.0,1,0.5
-54,23.0,1,0.5
-55,24.0,1,0.5
-53,26.0,1,0.5
-54,27.0,1,0.5
-54,29.0,1,0.5
-53,30.0,1,0.5
-53,33.0,1,0.5
-53,35.0,1,0.5
-56,36.0,1,0.5
-53,37.0,1,0.5
-56,39.0,1,0.5
-54,40.0,1,0.5
-51,41.0,1,0.5
-55,44.0,1,0.5
-53,46.0,1,0.5
-54,47.0,1,0.5
-54,49.0,1,0.5
-53,50.0,1,0.5
